Project F TMDS Encoding Model from https://projectf.io
d -> q_m -> q_out (MSB first) - 1s: one count, B: bias
 43: XOR (3, 2, B0) 00101011 -> 100011001 -> 0100011001
 44: XOR (4, 0, A0) 00101100 -> 111100100 -> 0111100100
 45: XOR (4, 0, A0) 00101101 -> 100011011 -> 0100011011
 46: XNOR(3, 0, A1) 00101110 -> 010110000 -> 1001001111
 47: XNOR(5, 2, B1) 00101111 -> 001001111 -> 1010110000
 48: XOR (1, 0, A0) 00110000 -> 100010000 -> 0100010000
 49: XOR (7,-6, B0) 00110001 -> 111101111 -> 0111101111
 50: XOR (6, 0, A0) 00110010 -> 111101110 -> 0111101110
 51: XOR (2, 4, B0) 00110011 -> 100010001 -> 0100010001
 52: XOR (5, 0, A0) 00110100 -> 111101100 -> 0111101100
 53: XOR (3, 2, B0) 00110101 -> 100010011 -> 0100010011
 54: XNOR(4, 0, A1) 00110110 -> 010111000 -> 1001000111
 55: XNOR(4, 0, A1) 00110111 -> 001000111 -> 1010111000
 56: XOR (4, 0, A0) 00111000 -> 111101000 -> 0111101000
 57: XOR (4, 0, A0) 00111001 -> 100010111 -> 0100010111
 58: XNOR(5, 0, A1) 00111010 -> 010111100 -> 1001000011
 59: XNOR(3,-2, B1) 00111011 -> 001000011 -> 1010111100
 60: XNOR(6, 0, A1) 00111100 -> 010111110 -> 1001000001
 61: XNOR(2,-4, B1) 00111101 -> 001000001 -> 1010111110
 62: XNOR(1, 0, A1) 00111110 -> 001000000 -> 1010111111
 63: XNOR(7, 6, B1) 00111111 -> 010111111 -> 1001000000
 64: XOR (2, 0, A0) 01000000 -> 111000000 -> 0111000000
 65: XOR (6,-4, B0) 01000001 -> 100111111 -> 0100111111
 66: XOR (5, 0, A0) 01000010 -> 100111110 -> 0100111110
 67: XOR (3, 2, B0) 01000011 -> 111000001 -> 0111000001
 68: XOR (4, 0, A0) 01000100 -> 100111100 -> 0100111100
 69: XOR (4, 0, A0) 01000101 -> 111000011 -> 0111000011
 70: XOR (3, 0, A0) 01000110 -> 111000010 -> 0111000010
 71: XOR (5,-2, B0) 01000111 -> 100111101 -> 0100111101
 72: XOR (3, 0, A0) 01001000 -> 100111000 -> 0100111000
 73: XOR (5,-2, B0) 01001001 -> 111000111 -> 0111000111
 74: XOR (4, 0, A0) 01001010 -> 111000110 -> 0111000110
 75: XOR (4, 0, A0) 01001011 -> 100111001 -> 0100111001
 76: XOR (3, 0, A0) 01001100 -> 111000100 -> 0111000100
 77: XOR (5,-2, B0) 01001101 -> 100111011 -> 0100111011
 78: XNOR(2, 0, A1) 01001110 -> 010010000 -> 1001101111
 79: XNOR(6, 4, B1) 01001111 -> 001101111 -> 1010010000
 80: XOR (2, 0, A0) 01010000 -> 100110000 -> 0100110000
 81: XOR (6,-4, B0) 01010001 -> 111001111 -> 0111001111
 82: XOR (5, 0, A0) 01010010 -> 111001110 -> 0111001110
 83: XOR (3, 2, B0) 01010011 -> 100110001 -> 0100110001
 84: XOR (4, 0, A0) 01010100 -> 111001100 -> 0111001100
 85: XOR (4, 0, A0) 01010101 -> 100110011 -> 0100110011
 86: XNOR(3, 0, A1) 01010110 -> 010011000 -> 1001100111
 87: XNOR(5, 2, B1) 01010111 -> 001100111 -> 1010011000
 88: XOR (3, 0, A0) 01011000 -> 111001000 -> 0111001000
 89: XOR (5,-2, B0) 01011001 -> 100110111 -> 0100110111
 90: XNOR(4, 0, A1) 01011010 -> 010011100 -> 1001100011
 91: XNOR(4, 0, A1) 01011011 -> 001100011 -> 1010011100
 92: XNOR(5, 0, A1) 01011100 -> 010011110 -> 1001100001
 93: XNOR(3,-2, B1) 01011101 -> 001100001 -> 1010011110
 94: XNOR(2, 0, A1) 01011110 -> 001100000 -> 1010011111
 95: XNOR(6, 4, B1) 01011111 -> 010011111 -> 1001100000
 96: XOR (1, 0, A0) 01100000 -> 100100000 -> 0100100000
 97: XOR (7,-6, B0) 01100001 -> 111011111 -> 0111011111
 98: XOR (6, 0, A0) 01100010 -> 111011110 -> 0111011110
 99: XOR (2, 4, B0) 01100011 -> 100100001 -> 0100100001
100: XOR (5, 0, A0) 01100100 -> 111011100 -> 0111011100
101: XOR (3, 2, B0) 01100101 -> 100100011 -> 0100100011
102: XNOR(2, 0, A1) 01100110 -> 010001000 -> 1001110111
103: XNOR(6, 4, B1) 01100111 -> 001110111 -> 1010001000
104: XOR (4, 0, A0) 01101000 -> 111011000 -> 0111011000
105: XOR (4, 0, A0) 01101001 -> 100100111 -> 0100100111
106: XNOR(3, 0, A1) 01101010 -> 010001100 -> 1001110011
107: XNOR(5, 2, B1) 01101011 -> 001110011 -> 1010001100
108: XNOR(4, 0, A1) 01101100 -> 010001110 -> 1001110001
109: XNOR(4, 0, A1) 01101101 -> 001110001 -> 1010001110
110: XNOR(3, 0, A1) 01101110 -> 001110000 -> 1010001111
111: XNOR(5, 2, B1) 01101111 -> 010001111 -> 1001110000
112: XOR (3, 0, A0) 01110000 -> 111010000 -> 0111010000
113: XOR (5,-2, B0) 01110001 -> 100101111 -> 0100101111
114: XNOR(2, 0, A1) 01110010 -> 010000100 -> 1001111011
115: XNOR(6, 4, B1) 01110011 -> 001111011 -> 1010000100
116: XNOR(3, 0, A1) 01110100 -> 010000110 -> 1001111001
117: XNOR(5, 2, B1) 01110101 -> 001111001 -> 1010000110
118: XNOR(4, 0, A1) 01110110 -> 001111000 -> 1010000111
119: XNOR(4, 0, A1) 01110111 -> 010000111 -> 1001111000
120: XNOR(2, 0, A1) 01111000 -> 010000010 -> 1001111101
121: XNOR(6, 4, B1) 01111001 -> 001111101 -> 1010000010
122: XNOR(5, 0, A1) 01111010 -> 001111100 -> 1010000011
123: XNOR(3,-2, B1) 01111011 -> 010000011 -> 1001111100
124: XNOR(6, 0, A1) 01111100 -> 001111110 -> 1010000001
125: XNOR(2,-4, B1) 01111101 -> 010000001 -> 1001111110
126: XNOR(1, 0, A1) 01111110 -> 010000000 -> 1001111111
127: XNOR(7, 6, B1) 01111111 -> 001111111 -> 1010000000
128: XOR (1, 0, A0) 10000000 -> 110000000 -> 0110000000
129: XOR (7,-6, B0) 10000001 -> 101111111 -> 0101111111
130: XOR (6, 0, A0) 10000010 -> 101111110 -> 0101111110
131: XOR (2, 4, B0) 10000011 -> 110000001 -> 0110000001
132: XOR (5, 0, A0) 10000100 -> 101111100 -> 0101111100
133: XOR (3, 2, B0) 10000101 -> 110000011 -> 0110000011
134: XOR (2, 0, A0) 10000110 -> 110000010 -> 0110000010
135: XOR (6,-4, B0) 10000111 -> 101111101 -> 0101111101
136: XOR (4, 0, A0) 10001000 -> 101111000 -> 0101111000
137: XOR (4, 0, A0) 10001001 -> 110000111 -> 0110000111
138: XOR (3, 0, A0) 10001010 -> 110000110 -> 0110000110
139: XOR (5,-2, B0) 10001011 -> 101111001 -> 0101111001
140: XOR (2, 0, A0) 10001100 -> 110000100 -> 0110000100
141: XOR (6,-4, B0) 10001101 -> 101111011 -> 0101111011
142: XNOR(3, 0, A1) 10001110 -> 011010000 -> 1000101111
143: XNOR(5, 2, B1) 10001111 -> 000101111 -> 1011010000
144: XOR (3, 0, A0) 10010000 -> 101110000 -> 0101110000
145: XOR (5,-2, B0) 10010001 -> 110001111 -> 0110001111
146: XOR (4, 0, A0) 10010010 -> 110001110 -> 0110001110
147: XOR (4, 0, A0) 10010011 -> 101110001 -> 0101110001
148: XOR (3, 0, A0) 10010100 -> 110001100 -> 0110001100
149: XOR (5,-2, B0) 10010101 -> 101110011 -> 0101110011
150: XNOR(4, 0, A1) 10010110 -> 011011000 -> 1000100111
151: XNOR(4, 0, A1) 10010111 -> 000100111 -> 1011011000
152: XOR (2, 0, A0) 10011000 -> 110001000 -> 0110001000
153: XOR (6,-4, B0) 10011001 -> 101110111 -> 0101110111
154: XNOR(5, 0, A1) 10011010 -> 011011100 -> 1000100011
155: XNOR(3,-2, B1) 10011011 -> 000100011 -> 1011011100
156: XNOR(6, 0, A1) 10011100 -> 011011110 -> 1000100001
157: XNOR(2,-4, B1) 10011101 -> 000100001 -> 1011011110
158: XNOR(1, 0, A1) 10011110 -> 000100000 -> 1011011111
159: XNOR(7, 6, B1) 10011111 -> 011011111 -> 1000100000
160: XOR (2, 0, A0) 10100000 -> 101100000 -> 0101100000
161: XOR (6,-4, B0) 10100001 -> 110011111 -> 0110011111
162: XOR (5, 0, A0) 10100010 -> 110011110 -> 0110011110
163: XOR (3, 2, B0) 10100011 -> 101100001 -> 0101100001
164: XOR (4, 0, A0) 10100100 -> 110011100 -> 0110011100
165: XOR (4, 0, A0) 10100101 -> 101100011 -> 0101100011
166: XNOR(3, 0, A1) 10100110 -> 011001000 -> 1000110111
167: XNOR(5, 2, B1) 10100111 -> 000110111 -> 1011001000
168: XOR (3, 0, A0) 10101000 -> 110011000 -> 0110011000
169: XOR (5,-2, B0) 10101001 -> 101100111 -> 0101100111
170: XNOR(4, 0, A1) 10101010 -> 011001100 -> 1000110011
171: XNOR(4, 0, A1) 10101011 -> 000110011 -> 1011001100
172: XNOR(5, 0, A1) 10101100 -> 011001110 -> 1000110001
173: XNOR(3,-2, B1) 10101101 -> 000110001 -> 1011001110
174: XNOR(2, 0, A1) 10101110 -> 000110000 -> 1011001111
175: XNOR(6, 4, B1) 10101111 -> 011001111 -> 1000110000
176: XOR (2, 0, A0) 10110000 -> 110010000 -> 0110010000
177: XOR (6,-4, B0) 10110001 -> 101101111 -> 0101101111
178: XNOR(3, 0, A1) 10110010 -> 011000100 -> 1000111011
179: XNOR(5, 2, B1) 10110011 -> 000111011 -> 1011000100
180: XNOR(4, 0, A1) 10110100 -> 011000110 -> 1000111001
181: XNOR(4, 0, A1) 10110101 -> 000111001 -> 1011000110
182: XNOR(3, 0, A1) 10110110 -> 000111000 -> 1011000111
183: XNOR(5, 2, B1) 10110111 -> 011000111 -> 1000111000
184: XNOR(3, 0, A1) 10111000 -> 011000010 -> 1000111101
185: XNOR(5, 2, B1) 10111001 -> 000111101 -> 1011000010
186: XNOR(4, 0, A1) 10111010 -> 000111100 -> 1011000011
187: XNOR(4, 0, A1) 10111011 -> 011000011 -> 1000111100
188: XNOR(5, 0, A1) 10111100 -> 000111110 -> 1011000001
189: XNOR(3,-2, B1) 10111101 -> 011000001 -> 1000111110
190: XNOR(2, 0, A1) 10111110 -> 011000000 -> 1000111111
191: XNOR(6, 4, B1) 10111111 -> 000111111 -> 1011000000
192: XOR (1, 0, A0) 11000000 -> 101000000 -> 0101000000
193: XOR (7,-6, B0) 11000001 -> 110111111 -> 0110111111
194: XOR (6, 0, A0) 11000010 -> 110111110 -> 0110111110
195: XOR (2, 4, B0) 11000011 -> 101000001 -> 0101000001
196: XOR (5, 0, A0) 11000100 -> 110111100 -> 0110111100
197: XOR (3, 2, B0) 11000101 -> 101000011 -> 0101000011
198: XNOR(4, 0, A1) 11000110 -> 011101000 -> 1000010111
199: XNOR(4, 0, A1) 11000111 -> 000010111 -> 1011101000
200: XOR (4, 0, A0) 11001000 -> 110111000 -> 0110111000
201: XOR (4, 0, A0) 11001001 -> 101000111 -> 0101000111
202: XNOR(5, 0, A1) 11001010 -> 011101100 -> 1000010011
203: XNOR(3,-2, B1) 11001011 -> 000010011 -> 1011101100
204: XNOR(6, 0, A1) 11001100 -> 011101110 -> 1000010001
205: XNOR(2,-4, B1) 11001101 -> 000010001 -> 1011101110
206: XNOR(1, 0, A1) 11001110 -> 000010000 -> 1011101111
207: XNOR(7, 6, B1) 11001111 -> 011101111 -> 1000010000
208: XOR (3, 0, A0) 11010000 -> 110110000 -> 0110110000
209: XOR (5,-2, B0) 11010001 -> 101001111 -> 0101001111
210: XNOR(4, 0, A1) 11010010 -> 011100100 -> 1000011011
211: XNOR(4, 0, A1) 11010011 -> 000011011 -> 1011100100
212: XNOR(5, 0, A1) 11010100 -> 011100110 -> 1000011001
213: XNOR(3,-2, B1) 11010101 -> 000011001 -> 1011100110
214: XNOR(2, 0, A1) 11010110 -> 000011000 -> 1011100111
215: XNOR(6, 4, B1) 11010111 -> 011100111 -> 1000011000
216: XNOR(4, 0, A1) 11011000 -> 011100010 -> 1000011101
217: XNOR(4, 0, A1) 11011001 -> 000011101 -> 1011100010
218: XNOR(3, 0, A1) 11011010 -> 000011100 -> 1011100011
219: XNOR(5, 2, B1) 11011011 -> 011100011 -> 1000011100
220: XNOR(4, 0, A1) 11011100 -> 000011110 -> 1011100001
221: XNOR(4, 0, A1) 11011101 -> 011100001 -> 1000011110
222: XNOR(3, 0, A1) 11011110 -> 011100000 -> 1000011111
223: XNOR(5, 2, B1) 11011111 -> 000011111 -> 1011100000
224: XOR (2, 0, A0) 11100000 -> 110100000 -> 0110100000
225: XOR (6,-4, B0) 11100001 -> 101011111 -> 0101011111
226: XNOR(5, 0, A1) 11100010 -> 011110100 -> 1000001011
227: XNOR(3,-2, B1) 11100011 -> 000001011 -> 1011110100
228: XNOR(6, 0, A1) 11100100 -> 011110110 -> 1000001001
229: XNOR(2,-4, B1) 11100101 -> 000001001 -> 1011110110
230: XNOR(1, 0, A1) 11100110 -> 000001000 -> 1011110111
231: XNOR(7, 6, B1) 11100111 -> 011110111 -> 1000001000
232: XNOR(5, 0, A1) 11101000 -> 011110010 -> 1000001101
233: XNOR(3,-2, B1) 11101001 -> 000001101 -> 1011110010
234: XNOR(2, 0, A1) 11101010 -> 000001100 -> 1011110011
235: XNOR(6, 4, B1) 11101011 -> 011110011 -> 1000001100
236: XNOR(3, 0, A1) 11101100 -> 000001110 -> 1011110001
237: XNOR(5, 2, B1) 11101101 -> 011110001 -> 1000001110
238: XNOR(4, 0, A1) 11101110 -> 011110000 -> 1000001111
239: XNOR(4, 0, A1) 11101111 -> 000001111 -> 1011110000
240: XNOR(6, 0, A1) 11110000 -> 011111010 -> 1000000101
241: XNOR(2,-4, B1) 11110001 -> 000000101 -> 1011111010
242: XNOR(1, 0, A1) 11110010 -> 000000100 -> 1011111011
243: XNOR(7, 6, B1) 11110011 -> 011111011 -> 1000000100
244: XNOR(2, 0, A1) 11110100 -> 000000110 -> 1011111001
245: XNOR(6, 4, B1) 11110101 -> 011111001 -> 1000000110
246: XNOR(5, 0, A1) 11110110 -> 011111000 -> 1000000111
247: XNOR(3,-2, B1) 11110111 -> 000000111 -> 1011111000
248: XNOR(1, 0, A1) 11111000 -> 000000010 -> 1011111101
249: XNOR(7, 6, B1) 11111001 -> 011111101 -> 1000000010
250: XNOR(6, 0, A1) 11111010 -> 011111100 -> 1000000011
251: XNOR(2,-4, B1) 11111011 -> 000000011 -> 1011111100
252: XNOR(7, 0, A1) 11111100 -> 011111110 -> 1000000001
253: XNOR(1,-6, B1) 11111101 -> 000000001 -> 1011111110
254: XNOR(0, 0, A1) 11111110 -> 000000000 -> 1011111111
255: XNOR(8, 8, B1) 11111111 -> 011111111 -> 1000000000
